epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
70,12510.834814453125,68.52653,12510.835,2686838.5,1203.7110595703125,2686838.5
71,12425.2701171875,69.27958,12425.2705,2651395.25,1202.2589111328125,2651395.25
72,12691.124609375,66.2184,12691.125,2610397.5,1200.531982421875,2610397.5
73,12819.426171875,63.687134,12819.426,2662320.0,1204.1094970703125,2662320.0
74,11891.69306640625,60.437885,11891.693,2612064.25,1205.5810546875,2612064.25
75,11883.9423828125,61.047443,11883.942,2701001.5,1207.3377685546875,2701001.5
76,12375.271484375,65.47905,12375.271,2594546.5,1205.411865234375,2594546.5
77,11711.936328125,61.61167,11711.936,2735384.5,1204.661376953125,2735384.5
78,16641.26015625,83.978745,16641.26,2583684.0,1205.3148193359375,2583684.0
79,12601.4990234375,70.675446,12601.499,2728862.75,1205.2584228515625,2728862.75
80,13600.32265625,74.462814,13600.323,2600508.75,1203.0408935546875,2600508.75
81,11860.85283203125,62.75344,11860.854,2715137.25,1204.146240234375,2715137.25
82,13008.342358398437,72.839584,13008.342,2601586.0,1200.58056640625,2601586.0
83,12307.534375,67.853355,12307.534,2661025.0,1200.75390625,2661025.0
84,10655.4185546875,50.351276,10655.419,2609063.25,1198.71533203125,2609063.25
85,10934.458227539062,59.83086,10934.459,2643424.5,1200.5875244140625,2643424.5
86,11998.23125,60.547985,11998.231,2618957.5,1202.358642578125,2618957.5
87,11763.9486328125,60.05664,11763.948,2668318.25,1203.5504150390625,2668318.25
88,12331.5953125,71.31317,12331.596,2607953.5,1202.068603515625,2607953.5
89,12024.06201171875,62.736015,12024.0625,2635927.5,1199.7122802734375,2635927.5
90,10538.97890625,50.358826,10538.979,2609700.0,1197.37353515625,2609700.0
91,11680.098559570313,60.42161,11680.1,2662520.75,1199.7249755859375,2662520.75
92,11802.5080078125,63.929585,11802.508,2619088.5,1202.0272216796875,2619088.5
93,11769.6947265625,62.843376,11769.695,2658405.25,1202.0972900390625,2658405.25
94,11149.55166015625,61.04017,11149.552,2639009.25,1198.5968017578125,2639009.25
95,11215.014453125,55.62572,11215.014,2627976.75,1198.646484375,2627976.75
96,9761.3625,50.38466,9761.362,2660808.5,1202.25927734375,2660808.5
97,10158.42978515625,48.71767,10158.43,2603975.75,1203.1229248046875,2603975.75
98,11635.188671875,59.320213,11635.189,2671365.0,1201.948486328125,2671365.0
99,10278.965625,54.469215,10278.966,2590662.25,1196.7628173828125,2590662.25
